Code,Name,sec_name,Wind_ind,GICS_ind,HS_ind,Code_jieli
3316.HK,滨江服务,滨江服务,房地产--房地产Ⅱ--房地产管理和开发--房地产经营公司,房地产_房地产Ⅱ_房地产管理和开发_房地产经营公司,支援服务(HS),E03316
3318.HK,中国香精香料,中国香精香料,材料--材料Ⅱ--化工--特种化工,原材料_原材料Ⅱ_化学制品_特种化学制品,食品饮料(HS),E03318
3319.HK,雅生活服务,雅生活服务,房地产--房地产Ⅱ--房地产管理和开发--房地产服务,房地产_房地产Ⅱ_房地产管理和开发_房地产服务,支援服务(HS),E03319
3320.HK,华润医药,华润医药,医疗保健--制药、生物科技与生命科学--制药--西药,医疗保健_制药、生物科技与生命科学_制药Ⅲ_制药,医疗保健(HS),E03320
3322.HK,永嘉集团,永嘉集团,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_服装、服饰与奢侈品,纺织业(HS),E03322
3323.HK,中国建材,中国建材,材料--材料Ⅱ--建材Ⅲ--建材,原材料_原材料Ⅱ_建筑材料Ⅲ_建筑材料,地产基建(HS),E03323
3326.HK,保发集团,保发集团,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_服装、服饰与奢侈品,纺织业(HS),E03326
3328.HK,交通银行,交通银行,金融--银行--商业银行--多元化银行,金融_银行_商业银行_综合性银行,银行业(HS),E03328
3329.HK,交银国际,交银国际,金融--多元金融--资本市场--多元资本市场,金融_综合金融_资本市场_综合性资本市场,非银金融(HS),E03329
3330.HK,灵宝黄金,灵宝黄金,材料--材料Ⅱ--金属、非金属与采矿--黄金,原材料_原材料Ⅱ_金属与采矿_黄金,原材料业(HS),E03330
3331.HK,维达国际,维达国际,日常消费--家庭与个人用品--家庭用品Ⅲ--家庭用品,日常消费品_家庭与个人用品_居家用品Ⅲ_居家用品,纺织业(HS),E03331
3332.HK,中生联合,中生联合,日常消费--家庭与个人用品--个人用品Ⅲ--个人用品,日常消费品_家庭与个人用品_个人用品Ⅲ_个人用品,纺织业(HS),E03332
3333.HK,中国恒大,中国恒大,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03333
3335.HK,DBA电讯,DBA电讯,信息技术--技术硬件与设备--通信设备Ⅲ--通信设备,信息技术_技术硬件与设备_通信设备Ⅲ_通信设备,资讯科技业(HS),E03335
3336.HK,巨腾国际,巨腾国际,信息技术--技术硬件与设备--电子设备、仪器和元件--电子制造服务,信息技术_技术硬件与设备_电子设备、仪器和元件_电子制造服务,资讯科技业(HS),E03336
3337.HK,安东油田服务,安东油田服务,能源--能源Ⅱ--能源设备与服务--石油天然气设备与服务,能源_能源Ⅱ_能源设备与服务_石油天然气设备与服务,能源业(HS),E03337
3339.HK,中国龙工,中国龙工,工业--资本货物--机械--建筑机械与重型卡车,工业_资本品_机械制造_建筑机械与重型卡车,工业工程(HS),E03339
3344.HK,共享集团,共享集团,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--纺织品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_纺织品,纺织业(HS),E03344
3358.HK,荣威国际,荣威国际,可选消费--消费者服务Ⅱ--酒店、餐馆与休闲Ⅲ--休闲设施,非日常生活消费品_消费者服务_酒店、餐馆与休闲_消闲设施,休闲服务(HS),E03358
3360.HK,远东宏信,远东宏信,金融--多元金融--多元金融服务--特殊金融服务,金融_综合金融_综合金融服务_特殊金融服务,非银金融(HS),E03360
3363.HK,正业国际,正业国际,材料--材料Ⅱ--容器与包装--纸包装,原材料_原材料Ⅱ_容器与包装_纸材料包装,原材料业(HS),E03363
3366.HK,华侨城(亚洲),华侨城(亚洲),房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,地产基建(HS),E03366
3368.HK,百盛集团,百盛集团,可选消费--零售业--多元化零售--百货商店,非日常生活消费品_零售业_多元化零售_百货商店,零售业(HS),E03368
3369.HK,秦港股份,秦港股份,工业--运输--交通基础设施--海港与服务,工业_运输_交通基本设施_海港与服务,交通运输(HS),E03369
3377.HK,远洋集团,远洋集团,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03377
3378.HK,厦门港务,厦门港务,工业--运输--交通基础设施--海港与服务,工业_运输_交通基本设施_海港与服务,交通运输(HS),E03378
3380.HK,龙光地产,龙光地产,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03380
3382.HK,天津港发展,天津港发展,工业--运输--交通基础设施--海港与服务,工业_运输_交通基本设施_海港与服务,交通运输(HS),E03382
3383.HK,雅居乐集团,雅居乐集团,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03383
3389.HK,亨得利,亨得利,可选消费--零售业--专营零售--专卖店,非日常生活消费品_零售业_专营零售_专卖店,纺织业(HS),E03389
